Рейтинг шкіл Хмельницької області 2017 року
Інформаційним освітнім ресурсом «Освіта.ua» складено рейтинг загальноосвітніх шкіл Хмельницької області, що посіли найвищі місця у рейтингу шкіл України за підсумками ЗНО 2017 року.

У якості вихідних даних для укладання рейтингу загальноосвітніх навчальних закладів були використані результати зовнішнього незалежного оцінювання, отримані випускниками шкіл у 2017 році.

Школи у таблиці ранжовані за рейтинговим балом, який розрахований на підставі середнього значення балів зовнішнього незалежного оцінювання, отриманих учасниками тестування з усіх предметів ЗНО, та з урахуванням загальної кількості складених тестів випускниками кожної школи. Детальніше про алгоритм розрахунку рейтингового бала дивіться за посиланням.

Дані рейтингової таблиці відкориговані станом на 13 вересня 2017 року у зв’язку із виявленою технічною помилкою у розрахунку рейтингового бала окремих шкіл (було помилково враховано випускників шкіл, які не з’явились на тести). Приносимо вибачення усім користувачам сайту.

Рейтинг шкіл Хмельницької області
Назва навчального закладу	Місце	TOP	Рейт. бал	Бал ЗНО	Учнів / тестів	Склав (%)
Радковецький НВК "ЗОШ І-ІІІ ст. - ДНЗ"Старокостянтинівської райради Хмельницької обл.	1	149	144.7	170.0	2/6	100
Кугаєвецька ЗОШ I-III ст.	2	152	144.6	169.5	5/19	100
Полонська гімназія Полонської міськради об’єднаної територіальної громади	3	200	142.9	165.3	27/92	99
Кам’янець-Подільський НВК №14 у складі спеціалізованої загальноосвітньої школи І ст. з поглибленим вивченням англійської мови та гімназії Хмельницької обл.	4	231	141.8	162.2	47/152	99
Шепетівський НВК "ЗОШ I-III ст.-гімназія" Хмельницької обл.	5	359	138.3	159.9	26/96	99
Кам’янець-Подільський НВК №9 імені А.М.Трояна у складі спеціалізованої загальноосвітньої школи I-III ст. з поглибленим вивченням англійської мови та школи мистецтв Хмельницької обл.	6	453	136.2	157.1	33/107	97
Кам’янець-Подільський ліцей	7	477	135.8	151.0	92/311	97
Славутський обласний спеціалізований ліцей-інтернат поглибленої підготовки учнів в галузі науки	8	521	135	145.4	131/496	97
Шепетівський НВК №1 у складі: "ЗОШ І-ІІ ст. та ліцей ім. Героя України М. Дзявульського" Хмельницької обл.	9	549	134.5	152.4	59/205	96
НВК "Дошкільний навчальний заклад-загальноосвітній навчальний заклад І ст., гімназія" м.Славути Хмельницької обл.	10	596	133.8	154.1	32/114	98
Старокостянтинівський НВК «Спеціалізована школа І ст., гімназія» Старокостянтинівської міськради Хмельницької обл. імені Героя України Сергія Михайловича Бондарчука	11	624	133.3	151.2	57/200	97
Нетішинський НВК "ЗОШ І-ІІ ст. та ліцей" Нетішинської міськради Хмельницької обл.	12	698	132.1	149.6	59/211	98
Дунаєвецька ЗОШ I-III ст. №3 Дунаєвецької міськради Хмельницької обл.	13	707	132.1	153.3	23/73	100
Старокостянтинівський ліцей Старокостянтинівської міськради Хмельницької обл. імені Михайла Семеновича Рудяка	14	752	131.3	151.5	30/106	98
Кам’янець-Подільський НВК №3 у складі загальноосвітньої школи І-ІІІ ст. та ліцею Хмельницької обл.	15	764	131.2	152.1	25/80	99
Кам’янець-Подільська ЗОШ I-III ст. №10 Хмельницької обл.	16	809	130.6	150.9	29/99	97
Кам’янець-Подільська ЗОШ №16 I-III ст.	17	823	130.5	151.2	25/81	95
Кам’янець-Подільська спеціальна школа-інтернат І-ІІІ ст. Хмельницької обласної ради	18	980	128.8	150.6	10/35	97
Дунаєвецький НВК "ЗОШ I-III ст., гімназія" Дунаєвецької міськради Хмельницької обл.	19	1010	128.4	147.5	36/131	99
Приватний НВК "Антей"	20	1083	127.6	149.4	8/26	96
Ярмолинецький НВК, в складі "ЗОШ I-III ст. №1 і гімназія" Ярмолинецької райради Хмельницької обл.	21	1098	127.5	146.7	34/120	97
Городоцька гімназія	22	1110	127.3	147.6	22/79	96
Кам’янець-Подільський НВК №13 у складі спеціалізованої загальноосвітньої школи I-III ст. з поглибленим вивченням польської мови і гімназії Хмельницької обл.	23	1188	126.5	147.1	20/65	97
Волочиська ЗОШ I-III ст. №1	24	1201	126.4	146.5	23/83	96
Ізяславський НВК "ЗОШ I-III ст. №2, ліцей" ім.О.Кушнірука Ізяславської міськради Хмельницької обл.	25	1226	126.2	145.6	28/107	97
Кам’янець-Подільська ЗОШ №17 I-III ст.	26	1309	125.3	145.4	22/73	97
Гальчинецька ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	27	1325	125.1	147.0	2/6	100
Старокостянтинівська ЗОШ I-III ст. №1 Старокостянтинівської міськради Хмельницької обл.	28	1352	124.9	141.6	54/201	95
Приворотська ЗОШ I-III ст.	29	1357	124.8	146.2	6/23	100
Новоушицький НВК "ЗОШ I-III ст. №1, гімназія"	30	1397	124.4	144.0	24/90	97
Грицівська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	31	1432	124.2	143.3	31/104	95
Меджибізька ЗОШ I-III ст. Меджибізької селищної ради Хмельницької обл.	32	1627	122.5	143.3	8/29	97
Славутський НВК" Спеціалізована школа І-ІІІ ст., ліцей" Успіх"	33	1648	122.3	140.0	45/151	91
Клинівська ЗОШ I-III ст.	34	1817	121	141.9	5/18	94
Криворудківська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	35	1840	120.9	141.7	6/19	100
Новоушицька ЗОШ I-III ст. №2	36	1873	120.6	140.5	14/55	98
Кам’янець-Подільська спеціалізована ЗОШ I-III ст. №5 з поглибленим вивченням інформатики Хмельницької обл.	37	1898	120.5	140.1	18/62	97
Китайгородський НВК у складі загальноосвітньої школи I-IIІ ст. та дошкільного навчального закладу Китайгородської сільської ради Хмельницької обл.	38	1924	120.2	141.3	2/6	100
Шепетівська ЗОШ I-III ст. №1 ім. М.Островського Хмельницької обл.	39	1933	120.2	138.8	29/99	95
Шатавський навчально–виховний комплекс «ЗОШ І-ІІ ст., колегіум» Маківської сільської ради Дунаєвецького р-ну Хмельницької обл.	40	1947	120	140.0	13/46	96
Бабинська ЗОШ I-III ст.	41	1961	119.9	140.5	7/22	91
Поляхівський НВК "ЗОШ I-III ст.-колегіум" Теофіпольської райради Хмельницької обл.	42	1989	119.7	139.9	10/35	97
Маківський НВК "ЗОШ I-II ст., колегіум"	43	2002	119.6	140.1	6/22	95
Новоселицька ЗОШ I-III ст. Полонської міськради об’єднаної територіальної громади Хмельницької обл.	44	2012	119.5	138.1	26/96	96
Лісоводська ЗОШ I-III ст.	45	2028	119.4	140.1	3/12	100
Кузьминський НВК "ЗОШ I-III ст.-дитячий садок"	46	2049	119.2	140.0	3/10	100
Ярмолинецький технологічний ліцей	47	2073	119	139.0	11/38	100
